label,family,topology_class,real_dimension,chi,sample,defect_count,index_sum,gamma_indexed_sum,remainder,lambda3,lambda5,width_theory,width_numerical,discontinuous
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,109,3,3.0,1.1194079725226906,-0.00039605294397296325,-1.1198040254666637,0.9811854377466411,0.3195015455822375,0.31939595180988234,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,110,3,3.0,1.1372640019314675,0.0016182287845725785,-1.135645773146895,1.141283606673747,0.2825089474966686,0.28211891512894277,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,111,3,3.0,1.0583105814400509,0.005451338509876005,-1.0528592429301749,0.9578471671419819,0.28932397136253835,0.2888041634742607,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,112,3,3.0,1.005638224148488,0.0003662874226769596,-1.0052719367258112,1.582633152836469,0.15963454085320872,0.15958269832662528,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,113,3,3.0,1.3575257238088176,0.0013451819295125572,-1.3561805418793051,1.356100810726273,0.3390650694300209,0.33890137959068634,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,114,3,3.0,1.27215590315071,0.0011407868813747084,-1.2710151162693353,0.980217993125972,0.41202044777644165,0.4113248122011603,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,115,3,3.0,1.2082462776377199,0.0028296303967093443,-1.2054166472410106,1.2667814371671697,0.2867561149094284,0.2866050314058108,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,116,3,3.0,1.192897715047169,0.0028811453041553857,-1.1900165697430136,1.0510062636349686,0.33685323419603724,0.3363473888098404,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,117,3,3.0,1.042493877478159,-0.0026617773241005447,-1.0451556548022594,1.5959232572258528,0.17111573783690898,0.17100123694143624,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,118,3,3.0,1.0663108378037585,3.349895845571894e-05,-1.0662773388453028,1.0826063015789225,0.2625486665089712,0.2623292824832105,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,119,3,3.0,1.0092414514820955,0.0010326940120234604,-1.008208757470072,1.3530205029063815,0.18781771903231817,0.187652188203857,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,120,3,3.0,1.2551551486486712,-0.0025794069172245396,-1.2577345555658956,0.9448206300162705,0.4185705101076433,0.41790911501861905,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,121,3,3.0,1.0413054355731908,-0.0008108058672597605,-1.0421162414404506,0.9445917191326162,0.2874274246420483,0.28717168860299386,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,122,3,3.0,1.2683367416768574,0.0006527123379221321,-1.2676840293389353,0.9457971234084372,0.4247799973343265,0.4240888117735308,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,123,3,3.0,1.2162817511072557,-0.0028326975195954143,-1.219114448626851,1.3733335692463673,0.27055335865458063,0.2702865903178966,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,124,3,3.0,1.3826633788656204,0.0017880692677032168,-1.3808753095979172,0.7841107854423487,0.6079551053431279,0.6071756107336396,True
