case,case_index,p,q,dimension,chi,conditioned,role,delta,seed_index,seed,jump_size,max_scan_difference,K_at_jump,K_at_max_scan_difference
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.35,3,187032,0.12439836912605373,0.8452404155048105,0.14993614318476692,0.08429943865289374
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.35,4,187033,0.0932902573056642,0.8257622576668382,0.13503207577822463,0.08429943865289374
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.35,5,187034,0.12631429232239444,0.8227978120686188,0.14228910235299183,0.08882994196491241
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.35,6,187035,0.1184747379042731,0.8429622737450345,0.14993614318476692,0.08
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.35,7,187036,0.10842260428344092,0.8561248256295297,0.15799415880319684,0.08
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.35,8,187037,0.10179623679027866,0.848762571643224,0.14228910235299183,0.08
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.35,9,187038,0.08622457578317944,0.8368934810912444,0.13503207577822463,0.08
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.35,10,187039,0.10103896499934106,0.839923661445157,0.1754326494660391,0.09360392804014056
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.35,11,187040,0.15303904414217995,0.8594923663344479,0.21629635713298206,0.09863448236862132
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.35,12,187041,0.12325996184342725,0.8310116105461991,0.14993614318476692,0.08429943865289374
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.35,13,187042,0.11577988864609601,0.8170175997024236,0.13503207577822463,0.08
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.35,14,187043,0.10386476380813303,0.8548685137420026,0.14993614318476692,0.08
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.5,0,202029,0.09510462286299884,0.8385586928150079,0.11540718737386181,0.08
