manifold,manifold_dimension,chi,delta,seed_index,seed,cubic_slope_fit,quintic_slope_fit,fit_r2,n_fit
$S^4$,4,2,0.35,1,166024,0.16505766662755156,-0.3002117759402162,0.9143660081671591,8
$S^4$,4,2,0.35,2,166025,0.17716596023519912,-0.308322438851878,0.8973220870646124,9
$S^4$,4,2,0.35,3,166026,0.19697492632321872,-0.378953953441242,0.860284680550588,9
$S^4$,4,2,0.35,4,166027,0.23558200060917167,-0.3835049269770706,0.7502250081964251,12
$S^4$,4,2,0.35,5,166028,0.17975497299319332,-0.24057986579531299,0.7457816672399984,11
$S^4$,4,2,0.35,6,166029,0.1677359475551532,-0.22379421274077554,0.8158692414924087,11
$S^4$,4,2,0.35,7,166030,0.34038650826107797,-0.7588045958469518,0.7369640381148986,12
$S^4$,4,2,0.35,8,166031,0.15130105519460016,-0.22880972585698933,0.8926947114210841,9
$S^4$,4,2,0.35,9,166032,0.12530394013764415,-0.15760649957235678,0.9037510614419593,9
$S^4$,4,2,0.35,10,166033,0.18172203725392394,-0.31814395112626825,0.8851757804611681,9
$S^4$,4,2,0.35,11,166034,0.20870816963711109,-0.3390151502749174,0.8034869577495107,10
$S^4$,4,2,0.35,12,166035,0.1495034798794771,-0.25794913782393963,0.9123009877195376,8
$S^4$,4,2,0.35,13,166036,0.2696057256337106,-0.4734265614887128,0.7138619231392455,12
$S^4$,4,2,0.35,14,166037,0.23850086364875422,-0.42805143131834933,0.7985363096568794,10
$S^4$,4,2,0.5,0,181023,,,,7
$S^4$,4,2,0.5,1,181024,0.1152687115042977,-0.15863061681082025,0.8430583779810604,8
$S^4$,4,2,0.5,2,181025,0.13120936529119032,-0.1996893725449826,0.8352758805651246,8
$S^4$,4,2,0.5,3,181026,,,,6
$S^4$,4,2,0.5,4,181027,0.15943267914767933,-0.2244337305388396,0.7178586729726859,9
$S^4$,4,2,0.5,5,181028,0.16460247057641145,-0.2967802417927288,0.8133279149855214,8
$S^4$,4,2,0.5,6,181029,0.12260823724613903,-0.17100875309589383,0.8525140545983007,8
$S^4$,4,2,0.5,7,181030,0.15330985230842328,-0.2523797295677573,0.7558151069805841,8
$S^4$,4,2,0.5,8,181031,0.14016335502953103,-0.21891644694347093,0.8421021952959088,8
$S^4$,4,2,0.5,9,181032,,,,6
$S^4$,4,2,0.5,10,181033,0.21614135536129683,-0.506278629137882,0.8433396406127545,8
$S^4$,4,2,0.5,11,181034,0.18679599507864247,-0.30920690983010896,0.7200953466092861,10
$S^4$,4,2,0.5,12,181035,,,,5
$S^4$,4,2,0.5,13,181036,,,,7
$S^4$,4,2,0.5,14,181037,,,,7
$S^5$,5,0,0.35,0,176023,2.168564389743755,-0.9838793897468653,0.98011143130447,66
$S^5$,5,0,0.35,1,176024,1.9169350288170244,-0.3450774313158281,0.9914943875281942,66
$S^5$,5,0,0.35,2,176025,2.0530584465580923,-0.7951354243465849,0.985790968678656,64
$S^5$,5,0,0.35,3,176026,1.940688962396478,-0.4444664976440013,0.9860494120704784,66
$S^5$,5,0,0.35,4,176027,2.080660767791952,-0.5453049814266748,0.988453273632121,67
$S^5$,5,0,0.35,5,176028,2.010048159674654,-0.7388936153188018,0.9852477685633192,63
$S^5$,5,0,0.35,6,176029,1.8797572708878787,-0.20409750699599277,0.9890524556750341,66
$S^5$,5,0,0.35,7,176030,1.694978766872676,-0.1466128904487375,0.9799147947699833,67
$S^5$,5,0,0.35,8,176031,2.231168970371205,-1.210181391741744,0.9825523362456694,65
$S^5$,5,0,0.35,9,176032,1.585927378701594,0.08321889006385538,0.9874151972660082,63
$S^5$,5,0,0.35,10,176033,2.045631296018973,-0.7023001076292837,0.9827466600363562,66
$S^5$,5,0,0.35,11,176034,1.4086908925026203,0.6099284487072997,0.9819567263131173,67
$S^5$,5,0,0.35,12,176035,1.9461515960813223,-0.5289734915364435,0.9829861129748595,65
$S^5$,5,0,0.35,13,176036,1.6325694985182404,0.01253554782410682,0.9879952240208456,61
$S^5$,5,0,0.35,14,176037,2.0145244633396757,-0.863618392888084,0.9821948719920232,65
$S^5$,5,0,0.5,0,191023,1.5600559394224511,-0.04299395869602204,0.9732592298783524,65
$S^5$,5,0,0.5,1,191024,1.7030810532127303,-0.35127028981976827,0.9743118879704166,65
$S^5$,5,0,0.5,2,191025,1.5581353197131493,0.10536938092899986,0.9779687144005422,65
$S^5$,5,0,0.5,3,191026,1.8912616652058458,-0.5946826209720518,0.9831854203310469,63
$S^5$,5,0,0.5,4,191027,1.7261400195974415,0.05775198150341542,0.980624992272259,68
$S^5$,5,0,0.5,5,191028,1.7396378124892218,-0.07755154555486328,0.9896077656699623,64
$S^5$,5,0,0.5,6,191029,1.7808160132329929,0.007819414496534836,0.9946073453535793,64
$S^5$,5,0,0.5,7,191030,1.9075587535063534,-0.5883747104934098,0.9856801871005656,66
$S^5$,5,0,0.5,8,191031,2.002052059186858,-0.6109682820405654,0.9876116280330647,67
$S^5$,5,0,0.5,9,191032,1.8569372701461642,-0.3873914412017422,0.9860767320475476,66
$S^5$,5,0,0.5,10,191033,1.7183646812651248,0.18600563878315657,0.9823597609066435,68
$S^5$,5,0,0.5,11,191034,1.968289936703858,-0.5928326509705529,0.9811118861577062,65
$S^5$,5,0,0.5,12,191035,1.8052161783270355,-0.29498793650660143,0.9757563786061897,67
$S^5$,5,0,0.5,13,191036,2.037090089064775,-0.70848863449813,0.977167412128447,66
$S^5$,5,0,0.5,14,191037,1.6818800135964465,-0.034619352187746096,0.9832852528729863,66
$S^6$,6,2,0.35,0,186023,0.23337855781998162,-0.3761629813966529,0.7655465016689069,12
$S^6$,6,2,0.35,1,186024,0.2287012773737303,-0.333224343524936,0.710286234894151,13
$S^6$,6,2,0.35,2,186025,0.2553350706681242,-0.48662336463200095,0.7862455869189271,11
$S^6$,6,2,0.35,3,186026,0.2989558990800266,-0.6086940676263877,0.7281033423464569,12
$S^6$,6,2,0.35,4,186027,0.16551565047015054,-0.22046758668531918,0.8165830523199508,11
$S^6$,6,2,0.35,5,186028,0.1493558466454633,-0.22139722984736412,0.8917286841989979,9
$S^6$,6,2,0.35,6,186029,0.2902628917684823,-0.5635998041699113,0.7704307937490992,12
$S^6$,6,2,0.35,7,186030,0.16559974503687291,-0.21833843900008182,0.8191846295499388,11
$S^6$,6,2,0.35,8,186031,0.2748309872396877,-0.3944012325198312,0.6463505692076468,14
$S^6$,6,2,0.35,9,186032,0.27633127441546695,-0.4685229375160357,0.7097758436528538,13
$S^6$,6,2,0.35,10,186033,0.21452649850518984,-0.32236458267599283,0.7758042878299257,12
$S^6$,6,2,0.35,11,186034,0.1675865395627253,-0.251651896449674,0.8435645456403433,10
$S^6$,6,2,0.35,12,186035,0.19742359586215516,-0.26510499282570604,0.7389237256129165,12
$S^6$,6,2,0.35,13,186036,0.196128273812482,-0.3029240155890739,0.8178661726205668,11
$S^6$,6,2,0.35,14,186037,0.1626401933876102,-0.2337203220784882,0.850661859443097,10
$S^6$,6,2,0.5,0,201023,0.13228123929117458,-0.20166844048804758,0.8394335642570225,8
$S^6$,6,2,0.5,1,201024,0.15475506786560095,-0.26877316590699374,0.8380606764976951,8
$S^6$,6,2,0.5,2,201025,,,,7
$S^6$,6,2,0.5,3,201026,0.20509404430180572,-0.4658790615810455,0.8028774084523904,8
$S^6$,6,2,0.5,4,201027,0.13604772947163662,-0.1784746690068441,0.7480901417407286,9
$S^6$,6,2,0.5,5,201028,0.2597715482209899,-0.5175613037987233,0.6700223100102595,9
$S^6$,6,2,0.5,6,201029,0.12821119560546015,-0.1821786474468541,0.849359072123445,8
$S^6$,6,2,0.5,7,201030,0.16838368098197515,-0.2787709595112865,0.7919496667387151,9
$S^6$,6,2,0.5,8,201031,0.1291128844933122,-0.18929130770740665,0.8425901225256891,8
$S^6$,6,2,0.5,9,201032,0.12398934322040694,-0.1737258824850084,0.8466132897863623,8
$S^6$,6,2,0.5,10,201033,0.16617386414109048,-0.23855241677506772,0.7544254853762311,10
$S^6$,6,2,0.5,11,201034,0.18955247957240706,-0.34837922841165003,0.7825313879316315,9
$S^6$,6,2,0.5,12,201035,0.18592045380953287,-0.36542234863666473,0.8147024920066888,8
$S^6$,6,2,0.5,13,201036,0.16563750481569833,-0.24559335723872067,0.7399642609162996,10
$S^6$,6,2,0.5,14,201037,0.12567083682967578,-0.18301250926942136,0.8460395271576271,8
$S^7$,7,0,0.35,0,196023,1.2135042137471597,0.38701525558021915,0.9897960443560395,62
$S^7$,7,0,0.35,1,196024,1.4794090550224241,0.018099997783836478,0.988676683951149,62
$S^7$,7,0,0.35,2,196025,1.601454090151819,-0.3094621632296086,0.9887500164594178,61
$S^7$,7,0,0.35,3,196026,1.374725749067111,0.08989188610420398,0.9878936350134565,62
$S^7$,7,0,0.35,4,196027,1.235504785297478,0.42699713399712846,0.987756526428117,62
$S^7$,7,0,0.35,5,196028,1.3223300238360693,0.040901512787384,0.9832428933636189,62
$S^7$,7,0,0.35,6,196029,1.147702670544141,0.5538873769280063,0.9793069455421662,64
$S^7$,7,0,0.35,7,196030,1.7559857711322395,-0.5967221449147907,0.9918077214073838,62
$S^7$,7,0,0.35,8,196031,1.4666702724209604,0.029739430530550844,0.9882957450249543,63
$S^7$,7,0,0.35,9,196032,1.5091312078341421,-0.19489400654301758,0.9871948523667503,62
$S^7$,7,0,0.35,10,196033,1.4655795639173086,0.003724459744544197,0.991902983823741,63
$S^7$,7,0,0.35,11,196034,1.2838409372927246,0.4993746211159938,0.9921768570787142,63
$S^7$,7,0,0.35,12,196035,1.305072113206239,0.18852907837414434,0.9894553554294618,62
$S^7$,7,0,0.35,13,196036,1.470846943229435,0.048987774519734066,0.9918164310261766,63
$S^7$,7,0,0.35,14,196037,1.5682455776140616,-0.3786135865617991,0.9873861808811766,62
$S^7$,7,0,0.5,0,211023,1.2093518901184304,0.4880807084128761,0.9827107548912929,63
$S^7$,7,0,0.5,1,211024,1.5760830738021363,-0.18076701107827636,0.9910057996895562,63
$S^7$,7,0,0.5,2,211025,1.2335185944322193,0.433014084905851,0.9909681680562573,63
$S^7$,7,0,0.5,3,211026,1.630897457334446,-0.2807006848244278,0.9906315081914584,63
$S^7$,7,0,0.5,4,211027,1.262435886165533,0.47618431541685835,0.9880426414632244,62
