ambient_dimension,manifold_dimension,Manifold dimension,N,seed,kappa_sample,kappa_theory,kappa_ratio,N_inv_sqrt
10,9,D = 9,256,23,0.9020270099737666,0.9,1.002252233304185,0.0625
10,9,D = 9,256,24,0.8875903828516538,0.9,0.9862115365018376,0.0625
10,9,D = 9,256,25,0.9067961535012418,0.9,1.0075512816680463,0.0625
10,9,D = 9,256,26,0.9118830487455789,0.9,1.0132033874950876,0.0625
10,9,D = 9,256,27,0.897561204131232,0.9,0.9972902268124799,0.0625
10,9,D = 9,256,28,0.906917195188153,0.9,1.007685772431281,0.0625
10,9,D = 9,256,29,0.9118455284561573,0.9,1.0131616982846192,0.0625
10,9,D = 9,512,0,0.9042323715338638,0.9,1.0047026350376265,0.044194173824159216
10,9,D = 9,512,1,0.8912678972944662,0.9,0.990297663660518,0.044194173824159216
10,9,D = 9,512,2,0.8933081783776662,0.9,0.9925646426418513,0.044194173824159216
10,9,D = 9,512,3,0.8994631407212701,0.9,0.9994034896903001,0.044194173824159216
10,9,D = 9,512,4,0.8959730568721193,0.9,0.9955256187467991,0.044194173824159216
10,9,D = 9,512,5,0.9031827915961607,0.9,1.0035364351068452,0.044194173824159216
10,9,D = 9,512,6,0.9005521213744839,0.9,1.000613468193871,0.044194173824159216
10,9,D = 9,512,7,0.9034375829571364,0.9,1.0038195366190403,0.044194173824159216
10,9,D = 9,512,8,0.891363234226985,0.9,0.9904035935855389,0.044194173824159216
10,9,D = 9,512,9,0.9033448375962483,0.9,1.0037164862180536,0.044194173824159216
10,9,D = 9,512,10,0.8992585529064017,0.9,0.9991761698960018,0.044194173824159216
10,9,D = 9,512,11,0.8939146807233386,0.9,0.9932385341370429,0.044194173824159216
10,9,D = 9,512,12,0.8962140214365211,0.9,0.99579335715169,0.044194173824159216
10,9,D = 9,512,13,0.8985656183185338,0.9,0.9984062425761486,0.044194173824159216
10,9,D = 9,512,14,0.9024847795383425,0.9,1.002760866153714,0.044194173824159216
10,9,D = 9,512,15,0.8948316202792552,0.9,0.9942573558658391,0.044194173824159216
10,9,D = 9,512,16,0.8948328950283639,0.9,0.9942587722537377,0.044194173824159216
10,9,D = 9,512,17,0.8955952976367796,0.9,0.9951058862630884,0.044194173824159216
10,9,D = 9,512,18,0.8977512866460674,0.9,0.9975014296067415,0.044194173824159216
10,9,D = 9,512,19,0.8997496289905932,0.9,0.999721809989548,0.044194173824159216
10,9,D = 9,512,20,0.9041235795926814,0.9,1.0045817551029794,0.044194173824159216
10,9,D = 9,512,21,0.9014495000381115,0.9,1.0016105555979016,0.044194173824159216
10,9,D = 9,512,22,0.9029208473479955,0.9,1.0032453859422172,0.044194173824159216
10,9,D = 9,512,23,0.9021788488425482,0.9,1.0024209431583868,0.044194173824159216
10,9,D = 9,512,24,0.9008534406316,0.9,1.0009482673684444,0.044194173824159216
10,9,D = 9,512,25,0.8979568465791674,0.9,0.9977298295324082,0.044194173824159216
10,9,D = 9,512,26,0.8977725308670321,0.9,0.9975250342967024,0.044194173824159216
10,9,D = 9,512,27,0.9006234336932126,0.9,1.0006927041035696,0.044194173824159216
10,9,D = 9,512,28,0.9107932118505793,0.9,1.0119924576117547,0.044194173824159216
10,9,D = 9,512,29,0.9024589298160919,0.9,1.002732144240102,0.044194173824159216
10,9,D = 9,1024,0,0.8997203591331391,0.9,0.9996892879257101,0.03125
10,9,D = 9,1024,1,0.9019136262892056,0.9,1.0021262514324507,0.03125
10,9,D = 9,1024,2,0.8991030611673221,0.9,0.9990034012970245,0.03125
10,9,D = 9,1024,3,0.8945990328501376,0.9,0.9939989253890418,0.03125
