case,case_index,p,q,dimension,chi,conditioned,role,delta,seed_index,seed,direction,K_index,K,K_over_Kref,R,N,relax_steps,K_grid_size
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,54,0.4729678260932233,1.3513366459806382,0.6788826191684967,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,55,0.49838652800672717,1.4239615085906492,0.6942657225040713,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,56,0.5251713067891476,1.5004894479689932,0.7013387755751344,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,57,0.5533955794866471,1.581130227104706,0.7160198390511852,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,58,0.5831367087964648,1.666104882275614,0.7280600880873488,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,59,0.6144762151179741,1.7556463289084976,0.7289430987844547,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,60,0.6475,1.85,0.7378694326186337,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,0,0.027999999999999997,0.08,0.07326556118605956,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,1,0.02950480352851281,0.08429943865289374,0.05821198807903878,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,2,0.03109047968771934,0.08882994196491241,0.05374945362709859,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,3,0.03276137481404919,0.09360392804014056,0.07271028300585163,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,4,0.03452206882901746,0.09863448236862132,0.08647161641202099,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,5,0.03637738779278416,0.10393539369366904,0.04998038436616431,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,6,0.03833241713237916,0.1095211918067976,0.06082819572000561,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,7,0.04039251558085162,0.11540718737386178,0.07401644851841918,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,8,0.04256332986555068,0.12160951390157337,0.06668084696769457,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,9,0.04485081018579837,0.1281451719594239,0.10639846744149085,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,10,0.047261226522378616,0.13503207577822463,0.10321492089086222,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,11,0.04980118582354714,0.14228910235299183,0.09097596331153417,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,12,0.05247765011466842,0.14993614318476692,0.062107742412892214,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,13,0.055297955581118885,0.15799415880319684,0.049713441395972946,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,14,0.05826983267676218,0.16648523621932054,0.05547764990771645,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,15,0.061401427313113675,0.1754326494660391,0.07223014367470275,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,16,0.06470132318727426,0.18486092339221216,0.07024161480808883,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,17,0.06817856530983343,0.1947959008852384,0.07981774968168424,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,18,0.07184268479723267,0.20526481370637908,0.10517595717293005,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,19,0.07570372499654372,0.21629635713298206,0.09220360743768925,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,20,0.07977226901427091,0.22792076861220262,0.0885607384247234,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,21,0.0840594687246333,0.24016991064180943,0.10969417061613185,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,22,0.08857707533683831,0.25307735810525234,0.08127929940928366,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,23,0.09333747160513185,0.2666784903003767,0.0790896199582668,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,24,0.09835370576991276,0.2810105879140365,0.1100407639972642,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,25,0.103639527322944,0.2961129352084114,0.12848636132138422,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,26,0.10920942469469275,0.31202692769912216,0.12917098408708783,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,27,0.11507866496710088,0.3287961856202883,0.13146895877249934,256,850,61
