family,manifold,dimension,zero_label,index,jacobian_det,chi_theory
Torus,$\mathbb{T}^8$,8,56,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,57,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,58,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,59,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,60,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,61,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,62,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,63,1,0.9999999999059737,0
Torus,$\mathbb{T}^8$,8,64,-1,-0.9999999998732171,0
Torus,$\mathbb{T}^8$,8,65,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,66,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,67,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,68,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,69,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,70,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,71,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,72,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,73,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,74,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,75,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,76,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,77,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,78,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,79,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,80,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,81,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,82,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,83,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,84,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,85,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,86,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,87,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,88,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,89,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,90,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,91,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,92,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,93,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,94,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,95,1,0.9999999999059737,0
Torus,$\mathbb{T}^8$,8,96,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,97,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,98,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,99,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,100,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,101,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,102,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,103,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,104,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,105,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,106,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,107,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,108,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,109,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,110,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,111,1,0.9999999999059737,0
Torus,$\mathbb{T}^8$,8,112,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,113,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,114,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,115,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,116,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,117,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,118,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,119,1,0.9999999999059737,0
Torus,$\mathbb{T}^8$,8,120,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,121,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,122,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,123,1,0.9999999999059737,0
Torus,$\mathbb{T}^8$,8,124,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,125,1,0.9999999999059737,0
Torus,$\mathbb{T}^8$,8,126,1,0.9999999999059737,0
Torus,$\mathbb{T}^8$,8,127,-1,-0.999999999912525,0
Torus,$\mathbb{T}^8$,8,128,-1,-0.9999999998732171,0
Torus,$\mathbb{T}^8$,8,129,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,130,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,131,-1,-0.9999999998863197,0
