manifold,manifold_dimension,chi,delta,seed_index,seed,conditioned,direction,K_index,K,K_over_Kref,R,K_ref,N,relax_steps,K_grid_size,construction_status
$S^3$,3,0,0.35,0,821023,False,forward,128,0.3484259162173792,0.7466269633229554,0.5113406286831769,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,129,0.35455913780935466,0.7597695810200458,0.5201701152211766,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,130,0.3608003203920185,0.7731435436971825,0.5272201258195708,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,131,0.36715136436556556,0.7867529236404978,0.5322613448168408,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,132,0.3736142035822823,0.8006018648191765,0.5487696736858989,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,133,0.3801908059353919,0.8146945841472685,0.5524280641458736,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,134,0.3868831739582654,0.8290353727677117,0.5684237979531338,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,135,0.3936933454341795,0.8436285973589561,0.5715681539565937,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,136,0.40062339401681,0.858478701464593,0.5772036923838227,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,137,0.4076754298616449,0.873590206846382,0.5770226849705878,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,138,0.4148516002685138,0.8889677148611012,0.582922826067975,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,139,0.42215409033542695,0.9046159078616293,0.5828043103083527,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,140,0.42958512362392276,0.9205395506226918,0.585796914007931,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,141,0.4371469628361297,0.9367434917917066,0.6035860224459818,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,142,0.44484191050374333,0.9532326653651644,0.6095789465597453,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,143,0.4526723096891329,0.9700120921909992,0.6161460899688802,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,144,0.460640544698789,0.9870868814974051,0.6279677345012544,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,145,0.4687490418093295,1.0044622324485635,0.6301832427738986,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,146,0.47700027000628475,1.0221434357277532,0.6319390794351685,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,147,0.48539674173588904,1.0401358751483338,0.6349144399194091,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,148,0.49394101367010346,1.058445029293079,0.6394881559960338,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,149,0.5026356874851067,1.0770764731823717,0.6508478622186953,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,150,0.5114834106534886,1.0960358799717613,0.6578323362944157,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,151,0.520486877250388,1.115329022679403,0.6651158982144749,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,152,0.5296488287738228,1.1349617759439061,0.6696396055757664,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,153,0.5389720549794574,1.1549401178131231,0.6644880032921258,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,154,0.5484593947300662,1.1752701315644278,0.6654696325342185,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,155,0.5581137368599484,1.1959580075570324,0.6781522999516744,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,156,0.5679380210545606,1.2170100451169157,0.6919816271457524,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,157,0.5779352387456306,1.238432654454923,0.6985488918290368,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,158,0.5881084340220313,1.2602323586186386,0.6986375377089494,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,159,0.5984607045566848,1.2824157954786104,0.7046210173752425,0.4666666666666666,1024,3000,181,ordinary random skew drift
