manifold,manifold_dimension,chi,delta,seed_index,seed,conditioned,jump_size,max_scan_difference,K_at_jump,K_at_max_scan_difference
$S^4$,4,2,0.5,9,181032,True,0.19135458288850637,0.8401158331197447,0.0973520488076115,0.08
$S^4$,4,2,0.5,10,181033,True,0.21229668308512428,0.8541596638081378,0.10530455067271664,0.08
$S^4$,4,2,0.5,11,181034,True,0.21023170990350087,0.8506013828056701,0.10952119180679758,0.08653504632928351
$S^4$,4,2,0.5,12,181035,True,0.19556469480776045,0.7942320541785977,0.09000011249746567,0.08
$S^4$,4,2,0.5,13,181036,True,0.20260868406136973,0.8467030226328767,0.0973520488076115,0.08
$S^4$,4,2,0.5,14,181037,True,0.2264361588865419,0.8345511295810346,0.0973520488076115,0.08320338758934444
$S^5$,5,0,0.35,0,176023,False,0.04813616737413373,0.06769167046188895,0.400112278878285,0.34196195587578615
$S^5$,5,0,0.35,1,176024,False,0.08535117168243757,0.1372441433745057,0.1973619773458998,0.1973619773458998
$S^5$,5,0,0.35,2,176025,False,0.0651139705588655,0.09284875814765736,0.2701914872033643,0.16218413871159862
$S^5$,5,0,0.35,3,176026,False,0.04406505647661263,0.06213506940524598,0.35565491444429187,0.15593993793817015
$S^5$,5,0,0.35,4,176027,False,0.0580339400303041,0.07019067228503889,0.2701914872033643,0.35565491444429187
$S^5$,5,0,0.35,5,176028,False,0.05362279523984638,0.10802472591967523,0.2052648137063791,0.17543264946603912
$S^5$,5,0,0.35,6,176029,False,0.07322043528794998,0.11966769386311121,0.21348409816583055,0.2052648137063791
$S^5$,5,0,0.35,7,176030,False,0.07174069763934939,0.07840484996915213,0.16218413871159862,0.16218413871159862
$S^5$,5,0,0.35,8,176031,False,0.05396121030544066,0.07942109819156665,0.1499361431847669,0.3039658030520044
$S^5$,5,0,0.35,9,176032,False,0.05517108083507727,0.15436182787938224,0.400112278878285,0.18976340561515812
$S^5$,5,0,0.35,10,176033,False,0.0659092032567378,0.07461880135130558,0.2597889293036108,0.31613730656552824
$S^5$,5,0,0.35,11,176034,False,0.0593526433177301,0.0771055106020988,0.24016991064180956,0.13861310490478443
$S^5$,5,0,0.35,12,176035,False,0.059845318029183886,0.06587022404513612,0.32879618562028823,0.32879618562028823
$S^5$,5,0,0.35,13,176036,False,0.04613050404021263,0.09124786453777087,0.31613730656552824,0.12321149479335379
$S^5$,5,0,0.35,14,176037,False,0.055799060188973036,0.1197463531551485,0.10952119180679762,0.24016991064180956
$S^5$,5,0,0.5,0,191023,False,0.08253590697314149,0.10378103928963335,0.2401699106418095,0.2401699106418095
$S^5$,5,0,0.5,1,191024,False,0.05279170615264307,0.08069113757204256,0.23092320406681818,0.23092320406681818
$S^5$,5,0,0.5,2,191025,False,0.07665212065695629,0.11425270385050032,0.3419619558757861,0.1897634056151581
$S^5$,5,0,0.5,3,191026,False,0.06605376695579412,0.07665943749479526,0.38470768123342697,0.38470768123342697
$S^5$,5,0,0.5,4,191027,False,0.07945386119222428,0.06577258321803836,0.23092320406681818,0.36989617118204443
$S^5$,5,0,0.5,5,191028,False,0.050236331926350596,0.07610947056910898,0.10530455067271667,0.1686783719258143
$S^5$,5,0,0.5,6,191029,False,0.046109658607466075,0.06808748897206067,0.19736197734589986,0.18245738411685572
$S^5$,5,0,0.5,7,191030,False,0.05826312804752809,0.08854429102678632,0.4001122788782851,0.1499361431847669
$S^5$,5,0,0.5,8,191031,False,0.049104181042503345,0.06539284814660135,0.18245738411685572,0.22203250204816574
$S^5$,5,0,0.5,9,191032,False,0.04206032956841804,0.05277311065234145,0.1686783719258143,0.08
