distribution,ambient_dimension,delta,epsilon_factor,susceptibility,Kc_numeric,Kc_theory,collapse,manifold_dimension
lorentzian,2,0.39577154308617235,0.001,1.262093013574101,0.7923346292585172,0.7915430861723448,1.0010000000000001,1
lorentzian,2,0.3981162324649299,0.001,1.2546599680396116,0.7970286973947897,0.7962324649298598,1.0010000000000001,1
lorentzian,2,0.4004609218436874,0.001,1.2473139631224002,0.8017227655310623,0.8009218436873748,1.0010000000000001,1
lorentzian,2,0.40280561122244485,0.001,1.240053478859449,0.8064168336673346,0.8056112224448897,1.0010000000000001,1
lorentzian,2,0.4051503006012024,0.001,1.2328770304731131,0.8111109018036071,0.8103006012024048,1.001,1
lorentzian,2,0.4074949899799599,0.001,1.2257831673588535,0.8158049699398797,0.8149899799599198,1.001,1
lorentzian,2,0.40983967935871746,0.001,1.2187704721077173,0.8204990380761523,0.8196793587174349,1.001,1
lorentzian,2,0.412184368737475,0.001,1.2118375595621802,0.8251931062124249,0.82436873747495,1.001,1
lorentzian,2,0.4145290581162324,0.001,1.2049830759040332,0.8298871743486973,0.8290581162324647,1.0010000000000001,1
lorentzian,2,0.41687374749498995,0.001,1.198205697773047,0.8345812424849699,0.8337474949899799,1.0010000000000001,1
lorentzian,2,0.4192184368737475,0.001,1.191504131415217,0.8392753106212425,0.838436873747495,1.0010000000000001,1
lorentzian,2,0.421563126252505,0.001,1.184877111859428,0.843969378757515,0.8431262525050102,1.0009999999999997,1
lorentzian,2,0.42390781563126256,0.001,1.1783234021214448,0.8486634468937877,0.8478156312625251,1.0010000000000001,1
lorentzian,2,0.42625250501002,0.001,1.1718417924341762,0.8533575150300601,0.85250501002004,1.0010000000000001,1
lorentzian,2,0.4285971943887775,0.001,1.1654310995031996,0.8580515831663326,0.857194388777555,1.001,1
lorentzian,2,0.43094188376753506,0.001,1.1590901657865944,0.8627456513026052,0.8618837675350701,1.001,1
lorentzian,2,0.4332865731462926,0.001,1.1528178587981557,0.8674397194388778,0.8665731462925853,1.001,1
lorentzian,2,0.43563126252505013,0.001,1.146613070433109,0.8721337875751504,0.8712625250501004,1.001,1
lorentzian,2,0.43797595190380756,0.001,1.1404747163154851,0.8768278557114227,0.8759519038076149,1.0010000000000003,1
lorentzian,2,0.4403206412825651,0.001,1.1344017351663447,0.8815219238476953,0.8806412825651302,1.0010000000000001,1
lorentzian,2,0.44266533066132263,0.001,1.1283930881920832,0.8862159919839679,0.8853306613226452,1.0010000000000001,1
lorentzian,2,0.44501002004008017,0.001,1.1224477584920707,0.8909100601202407,0.8900200400801604,1.0010000000000001,1
lorentzian,2,0.4473547094188377,0.001,1.1165647504849225,0.895604128256513,0.8947094188376755,1.001,1
lorentzian,2,0.44969939879759513,0.001,1.1107430893527153,0.9002981963927854,0.8993987975951903,1.001,1
lorentzian,2,0.45204408817635267,0.001,1.1049818205025015,0.9049922645290581,0.9040881763527052,1.0010000000000001,1
lorentzian,2,0.4543887775551102,0.001,1.099280009044497,0.9096863326653307,0.9087775551102202,1.0010000000000003,1
lorentzian,2,0.45673346693386774,0.001,1.0936367392863378,0.9143804008016032,0.9134669338677356,1.001,1
lorentzian,2,0.4590781563126253,0.001,1.0880511142428375,0.9190744689378759,0.9181563126252507,1.0010000000000001,1
lorentzian,2,0.4614228456913828,0.001,1.0825222551606914,0.9237685370741484,0.9228456913827657,1.001,1
lorentzian,2,0.46376753507014024,0.001,1.0770493010575977,0.9284626052104208,0.9275350701402805,1.0010000000000001,1
lorentzian,2,0.46611222444889777,0.001,1.071631408275288,0.9331566733466934,0.9322244488977954,1.0010000000000001,1
lorentzian,2,0.4684569138276553,0.001,1.0662677500459843,0.9378507414829658,0.9369138276553105,1.001,1
lorentzian,2,0.47080160320641284,0.001,1.0609575160718054,0.9425448096192385,0.9416032064128256,1.0010000000000001,1
lorentzian,2,0.4731462925851704,0.001,1.0556999121166846,0.9472388777555111,0.9462925851703408,1.001,1
