label,family,n,k,m,real_dimension,ambient_dimension,chi,kappa_theory,replicate,kappa_numeric,kappa_ratio
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,29,0.33247950343713617,0.9974385103114085
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,30,0.33749071987905144,1.0124721596371544
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,31,0.33673292788042464,1.010198783641274
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,32,0.3344773502991946,1.003432050897584
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,33,0.33386046239024714,1.0015813871707415
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,34,0.3334374137293182,1.0003122411879546
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,35,0.32850681126836057,0.9855204338050817
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,0,0.2856587120815046,0.9998054922852662
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,1,0.2902418089494708,1.015846331323148
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,2,0.288621996402343,1.0101769874082005
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,3,0.2859538383358067,1.0008384341753234
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,4,0.28316776700100255,0.991087184503509
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,5,0.28824898980645774,1.0088714643226022
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,6,0.2851373975968307,0.9979808915889076
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,7,0.29196727922929117,1.0218854773025192
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,8,0.2860817668609539,1.0012861840133387
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,9,0.2843461199153081,0.9952114197035784
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,10,0.2893512477415898,1.0127293670955644
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,11,0.2858647891019661,1.0005267618568814
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,12,0.2835644385996413,0.9924755350987446
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,13,0.2824761142833579,0.9886663999917527
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,14,0.2875716275551408,1.006500696442993
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,15,0.28211139628913184,0.9873898870119615
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,16,0.2854697951450091,0.9991442830075319
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,17,0.28848210110593725,1.0096873538707805
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,18,0.28768238309141514,1.0068883408199532
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,19,0.28940900071602715,1.0129315025060952
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,20,0.2862972867275486,1.0020405035464202
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,21,0.28232988929799496,0.9881546125429824
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,22,0.2889365239995411,1.0112778339983939
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,23,0.28446950630116485,0.995643272054077
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,24,0.2830335304812791,0.9906173566844769
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,25,0.2888143991125224,1.0108503968938285
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,26,0.2864600438477917,1.0026101534672711
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,27,0.2844930926485094,0.995725824269783
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,28,0.2827449820152726,0.9896074370534541
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,29,0.28363793446331614,0.9927327706216066
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,30,0.28728059740114803,1.005482090904018
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,31,0.28114970436600684,0.984023965281024
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,32,0.28045402780969475,0.9815890973339316
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,33,0.2850932659294843,0.9978264307531951
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,34,0.28226581494028474,0.9879303522909967
$\mathbb{CP}^5$,Complex projective space,6,1,5.0,10,35,6,0.2857142857142857,35,0.2860912016633761,1.0013192058218163
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,0,0.24746801008145292,0.9898720403258117
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,1,0.2504440594036014,1.0017762376144057
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,2,0.24845266190267412,0.9938106476106965
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,3,0.25107969906346905,1.0043187962538762
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,4,0.2517063116171824,1.0068252464687295
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,5,0.25016559311484154,1.0006623724593662
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,6,0.24953909193581586,0.9981563677432634
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,7,0.2483529441948497,0.9934117767793988
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,8,0.2533253015195401,1.0133012060781603
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,9,0.24782245255776528,0.9912898102310611
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,10,0.24877032759943896,0.9950813103977558
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,11,0.2501673382406796,1.0006693529627184
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,12,0.24824046170599676,0.992961846823987
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,13,0.24815069880069718,0.9926027952027887
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,14,0.24835039363142322,0.9934015745256929
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,15,0.24919972633363907,0.9967989053345563
