manifold_dimension,chi,delta,seed_index,base_seed,seed,construction_status,conditioned
10,2,0.35,5,226028,226028,axial sign-conditioned skew drift,True
10,2,0.35,6,226029,226029,axial sign-conditioned skew drift,True
10,2,0.35,7,226030,226030,axial sign-conditioned skew drift,True
10,2,0.35,8,226031,226031,axial sign-conditioned skew drift,True
10,2,0.35,9,226032,226032,axial sign-conditioned skew drift,True
10,2,0.35,10,226033,226033,axial sign-conditioned skew drift,True
10,2,0.35,11,226034,226034,axial sign-conditioned skew drift,True
10,2,0.35,12,226035,226035,axial sign-conditioned skew drift,True
10,2,0.35,13,226036,226036,axial sign-conditioned skew drift,True
10,2,0.35,14,226037,226037,axial sign-conditioned skew drift,True
10,2,0.5,0,241023,241023,axial sign-conditioned skew drift,True
10,2,0.5,1,241024,241024,axial sign-conditioned skew drift,True
10,2,0.5,2,241025,241025,axial sign-conditioned skew drift,True
10,2,0.5,3,241026,241026,axial sign-conditioned skew drift,True
10,2,0.5,4,241027,241027,axial sign-conditioned skew drift,True
10,2,0.5,5,241028,241028,axial sign-conditioned skew drift,True
10,2,0.5,6,241029,241029,axial sign-conditioned skew drift,True
10,2,0.5,7,241030,241030,axial sign-conditioned skew drift,True
10,2,0.5,8,241031,241031,axial sign-conditioned skew drift,True
10,2,0.5,9,241032,241032,axial sign-conditioned skew drift,True
10,2,0.5,10,241033,241033,axial sign-conditioned skew drift,True
10,2,0.5,11,241034,241034,axial sign-conditioned skew drift,True
10,2,0.5,12,241035,241035,axial sign-conditioned skew drift,True
10,2,0.5,13,241036,241036,axial sign-conditioned skew drift,True
10,2,0.5,14,241037,241037,axial sign-conditioned skew drift,True
